title,source,formatted_date,url,body
"ChatGPT Go is now available in the U.S., but be prepared to see ads",Digital Trends,2026-01-17 12:37:00,https://www.digitaltrends.com/cool-tech/chatgpt-go-is-now-available-in-the-u-s-but-be-prepared-to-see-ads/,"ChatGPT Go is OpenAI's new budget subscription tier, delivering expanded usage limits, access to GPT-5.2, and enhanced memory, bridging the gap between free and premium plans."
ChatGPT is getting ads. Sam Altman once called them a 'last resort.',Insider,2026-01-17 06:14:00,https://www.msn.com/en-us/money/other/chatgpt-is-getting-ads-sam-altman-once-called-them-a-last-resort/ar-AA1UmTKt,The move to integrate ads into ChatGPT comes as OpenAI looks to increase its revenue amid $1.4 trillion in spending commitments and a possible IPO.
OpenAI says it will start testing ads on ChatGPT in the coming weeks,CBS News,2026-01-16 20:55:58,https://www.msn.com/en-us/money/companies/openai-to-start-testing-ads-on-chatgpt-in-the-coming-weeks/ar-AA1Unl53,"The ads will appear at the bottom of the chat window on the free and low-subscription versions of ChatGPT, OpenAI said Friday in a blog post."
ChatGPT's free ride is ending: Here's what OpenAI plans for advertising on the chatbot,ABC News,2026-01-16 19:49:00,https://abcnews.go.com/Technology/wireStory/chatgpts-free-ride-ending-openai-plans-advertising-chatbot-129290040,SAN FRANCISCO -- OpenAI says it will soon start showing advertisements to ChatGPT users who aren't paying for a premium version of the chatbot. The artificial intelligence company said Friday it hasn't yet rolled out ads but will start testing them in the coming weeks.
ChatGPT's $8 subscription comes to the US: How Go compares to Plus and Pro,ZDNET,2026-01-16 21:26:50,https://www.msn.com/en-us/news/technology/chatgpt-s-8-subscription-comes-to-the-us-how-go-compares-to-plus-and-pro/ar-AA1UoH8I,"ZDNET's key takeaways OpenAI just made ChatGPT Go available in the US.The lighter version of ChatGPT's subscription costs $8 a month.Aside from the free version, OpenAI now offers three paid tiers. After testing a lighter subscription in India for four months,"
OpenAI to test ads in ChatGPT as it burns through billions,Ars Technica,2026-01-16 16:19:00,https://arstechnica.com/information-technology/2026/01/openai-to-test-ads-in-chatgpt-as-it-burns-through-billions/,"According to financial documents obtained by The Wall Street Journal in November, OpenAI expects to burn through roughly $9 billion this year while generating $13 billion in revenue. Only about 5 percent of ChatGPT's 800 million weekly users pay for subscriptions, so it's not enough to cover all of OpenAI's operating costs."
"ChatGPT Introduces Lower-Priced Subscription Tier, Ads Coming Soon",MacRumors,2026-01-16 17:44:00,https://www.macrumors.com/2026/01/16/chatgpt-go-now-available-worldwide/,"OpenAI today announced that its lower-priced ChatGPT Go subscription tier is now available worldwide, with U.S. pricing set at $8 per month. ChatGPT Go provides expanded access to ChatGPT's latest model,"
OpenAI to test ads in ChatGPT in bid to boost revenue,Reuters,2026-01-16 20:06:37,https://www.msn.com/en-ca/money/topstories/openai-to-test-ads-in-chatgpt-in-bid-to-boost-revenue/ar-AA1UmPsa,"OpenAI said it would start showing ads in ChatGPT to some U.S. users, ramping up efforts to generate revenue from the AI chatbot to fund the high costs of developing the technology."
ChatGPT can now search your entire chat history for answers,Digital Trends,2026-01-16 13:33:00,https://www.digitaltrends.com/computing/chatgpt-can-now-search-your-entire-chat-history-for-answers/,"ChatGPT can now search through your full chat history and pull details from earlier conversations, making it easier to find things you discussed weeks or months ago, as long as you are a Plus or Pro user."
OpenAI Starts Testing Ads in ChatGPT,The New York Times,2026-01-16 20:09:00,https://www.nytimes.com/2026/01/16/technology/chatgpt-ads-openai.html,The company said on Friday that it would start serving ads in the free version of its chatbot over the next several weeks.
OpenAI releases a cheaper ChatGPT subscription,The Verge,2026-01-16 22:00:00,https://www.theverge.com/news/863466/openai-chatgpt-go-global-release,﻿'ChatGPT Go' is available worldwide for $8 per month.
ChatGPT Health promises privacy for health conversations,Fox News,2026-01-16 14:58:40,https://www.msn.com/en-us/health/other/chatgpt-health-promises-privacy-for-health-conversations/ar-AA1Um48S,"ChatGPT Health allows users to connect medical records, Apple Health, and fitness apps for personalized health insights, OpenAI announces."
ChatGPT to start showing users ads based on their conversations,CNN,2026-01-16 21:37:01,https://www.msn.com/en-ca/news/technology/chatgpt-to-start-showing-users-ads-based-on-their-conversations/ar-AA1UmPyr,"As part of the test, ads will show up at the bottom of ChatGPT's answer to a user's query and will be labeled as ""sponsored."" OpenAI said ads won't dictate the answers ChatGPT provides, adding that users ""need to trust that ChatGPT's responses are driven by what's objectively useful."""
ChatGPT users are about to get hit with targeted ads,TechCrunch,2026-01-16 19:56:00,https://www.msn.com/en-us/news/technology/chatgpt-users-are-about-to-get-hit-with-targeted-ads/ar-AA1Un95d,"OpenAI says that ChatGPT will maintain ""answer independence,"" meaning that, despite the incorporation of advertising, those ads will not influence the answers that the chatbot serves to users. The company has also promised not to sell users' data to advertisers."
OpenAI's ChatGPT to Start Running Ads Based on Your Chatbot Conversations,Variety,2026-01-16 21:09:31,https://www.msn.com/en-us/money/other/openais-chatgpt-to-start-running-ads-based-on-your-chatbot-conversations/ar-AA1UmZx1,OpenAI is about to stick ads in its popular ChatGPT application for some users -- but the company insists that it will have measures in place for protecting user privacy and ensuring trust.
Ads are coming to ChatGPT,NBC News,2026-01-16 20:57:00,https://www.msn.com/en-us/news/technology/ads-are-coming-to-chatgpt/ar-AA1UmUxQ,"According to OpenAI, the answers its chatbot provides to user questions will not be influenced by advertisers."
Cloudflare CEO Mathew Prince has a 'Google message' OpenAI: Google has a huge advantage over ChatGPT and the credit goes to,The Times of India,2026-01-18 05:35:00,https://www.msn.com/en-in/careers/job-search/cisco-hr-chief-says-the-positions-that-everyone-in-the-technology-industry-is-right-now-hiring-for-are/ar-AA1UpRl4,Cloudflare co-founder and CEO Matthew Prince has now started a debate in the AI industry with his latest claim that Google enjoys a massive advantage .
