title,source,formatted_date,url,body
Arizona investigates Grok over AI sexual image allegations,USA TODAY,2026-01-18 03:22:00,https://www.usatoday.com/story/news/local/arizona/2026/01/17/arizona-investigates-grok-over-ai-sexual-image-allegations/88233066007/,"Arizona Attorney General Kris Mayes is investigating Grok after reports the AI tool created illegal sexual images, including content involving minors."
Mother of Elon Musk's child sues his AI company over sexual deepfake images created by Grok,The Associated Press - Business News,2026-01-17 07:08:00,https://www.msn.com/en-us/money/other/mother-of-elon-musks-child-sues-his-ai-company-over-sexual-deepfake-images-created-by-grok/ar-AA1Unkqe,"The mother of one of Elon Musk's children is suing his AI company, saying its Grok chatbot allowed users to generate sexually exploitive deepfake images of her that have caused her humiliation and emotional distress."
X puts new restrictions on Grok AI after backlash over sexually explicit photos,ABC News,2026-01-17 18:34:19,https://www.msn.com/en-us/health/wellness/x-puts-new-restrictions-on-grok-ai-after-backlash-over-sexually-explicit-photos/vi-AA1UpKTW,Business Insider enterprise desk correspondent Grace Kay discusses the recent restrictions placed on Grok AI after backlash from the generation of sexually explicit images.
Mother of Musk child sues over Grok sexualized images,The Hill,2026-01-16 17:33:30,https://www.msn.com/en-us/news/politics/mother-of-musk-child-sues-over-grok-sexualized-images/ar-AA1UmQDG,"Ashley St. Clair, the mother of one of Elon Musk's children, is suing the tech billionaire's AI company, xAI, after its chatbot Grok produced sexualized images of her. St. Clair filed suit against"
Grok Has Taken Over Elon Musk's X—One Click Stops It,Forbes,2026-01-16 12:45:00,https://www.forbes.com/sites/zakdoffman/2026/01/16/grok-has-taken-over-elon-musks-x-one-click-stops-it/,"AI has taken over Gmail and Windows and our phones, but the land grab is even more stark when it comes to X. Not only is the Elon Musk social media platform formerly known as Twitter now owned by the AI platform it spawned, but just as with errant offspring the world over, this AI is giving its parents a serious headache."
Musk's Grok AI faces more scrutiny after generating sexual deepfake images,Public Broadcasting Service (PBS),2026-01-16 22:45:00,https://www.pbs.org/newshour/show/musks-grok-ai-faces-more-scrutiny-after-generating-sexual-deepfake-images,"Elon Musk was forced to put restrictions on X and its AI chatbot, Grok, after its image generator sparked outrage around the world. Grok created non-consensual sexualized images, prompting some countries to ban the bot."
Sustainable Switch: Musk's Grok AI under scrutiny,Reuters,2026-01-16 13:46:00,https://www.reuters.com/sustainability/sustainable-switch-musks-grok-ai-under-scrutiny-2026-01-16/,"A coalition of women's groups, tech watchdogs and progressive activists call on Google and Apple to remove X and Grok from their app stores."
"Musk dealt blow over Grok deepfakes, but regulatory fight far from over",Reuters,2026-01-16 05:59:55,https://www.msn.com/en-ca/money/topstories/musk-dealt-blow-over-grok-deepfakes-but-regulatory-fight-far-from-over/ar-AA1UjTfB,"Elon Musk's Grok chatbot is testing Europe's ability to clamp down on deepfakes and digital undressing of images online, even after regulators scored a rare win by forcing Musk's xAI to curb the creation of sexualized images."
Elon Musk's X to block AI chatbot Grok from making explicit images of real people,NPR,2026-01-16 11:58:00,https://www.npr.org/2026/01/16/nx-s1-5678965/elon-musks-x-to-block-ai-chatbot-grok-from-making-explicit-images-of-real-people,Elon Musk's social media company X says it will block its AI chatbot Grok from creating explicit images of real people after governments around the world launched investigations into the feature.
It was surprisingly easy to get Grok to undress me,Yahoo,2026-01-16 19:16:00,https://www.yahoo.com/news/articles/surprisingly-easy-grok-undress-193059076.html,"Grok users can still make sexualized images within the app, just not via the @Grok account on X. I tested it out and learned how easy it is."
